Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/30/2016,16:38,ROCHESTER,31F,26F,82%,WNW,14mph,0mph,28.98in,0.0in,Light
12/30/2016,7:30,ROCHESTER,32F,28F,85%,W,14mph,0mph,28.94in,0.0in,Light
12/30/2016,17:53,ROCHESTER,32F,22F,66%,WNW,15mph,0mph,29.01in,0.0in,Light
12/30/2016,9:54,ROCHESTER,32F,28F,85%,W,16mph,23mph,28.94in,0.0in,Light
12/29/2016,0:13,ROCHESTER,33F,25F,72%,W,12mph,0mph,28.95in,0.0in,Cloudy
12/29/2016,7:46,ROCHESTER,31F,29F,92%,SSE,7mph,0mph,29.09in,0.0in,Light
12/29/2016,17:15,ROCHESTER,35F,29F,78%,SSW,13mph,0mph,28.97in,0.0in,Light
12/29/2016,0:00,ROCHESTER,33F,25F,72%,W,12mph,0mph,28.95in,0.0in,Cloudy
12/29/2016,17:43,ROCHESTER,35F,29F,78%,SSW,13mph,0mph,28.97in,0.0in,Light
12/29/2016,13:30,ROCHESTER,33F,29F,85%,S,8mph,0mph,29.00in,0.0in,Light
12/29/2016,7:11,ROCHESTER,31F,29F,92%,SSE,7mph,0mph,29.09in,0.0in,Light
12/29/2016,19:58,ROCHESTER,35F,30F,82%,SW,10mph,0mph,28.97in,0.0in,Light
12/29/2016,16:24,ROCHESTER,34F,30F,85%,S,12mph,0mph,28.98in,0.0in,Light
12/29/2016,18:47,ROCHESTER,35F,29F,78%,SSW,9mph,0mph,28.97in,0.0in,Cloudy
12/29/2016,2:36,ROCHESTER,31F,24F,76%,SE,8mph,0mph,29.26in,0.0in,Cloudy
12/28/2016,13:16,ROCHESTER,30F,19F,64%,W,14mph,0mph,29.54in,0.0in,Light
12/28/2016,20:06,ROCHESTER,32F,21F,64%,SW,5mph,0mph,29.49in,0.0in,Cloudy
12/28/2016,10:57,ROCHESTER,29F,19F,67%,W,15mph,0mph,29.50in,0.0in,Light
12/28/2016,9:21,ROCHESTER,29F,20F,69%,W,16mph,0mph,29.48in,0.0in,Light
12/28/2016,9:46,ROCHESTER,29F,20F,69%,W,16mph,0mph,29.48in,0.0in,Light
12/28/2016,14:53,ROCHESTER,32F,19F,59%,WSW,14mph,0mph,29.53in,0.0in,Cloudy
12/27/2016,4:31,ROCHESTER,48F,37F,66%,WSW,24mph,33mph,29.16in,0.0in,Partly
12/27/2016,16:59,ROCHESTER,36F,24F,62%,W,20mph,23mph,29.32in,0.0in,Cloudy
12/26/2016,9:38,ROCHESTER,39F,31F,73%,S,7mph,0mph,29.70in,0.0in,Cloudy
12/26/2016,19:39,ROCHESTER,47F,40F,77%,SSW,20mph,29mph,29.31in,0.0in,Cloudy
12/26/2016,8:57,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,12:39,ROCHESTER,45F,35F,68%,S,17mph,29mph,29.56in,0.0in,Cloudy
12/26/2016,3:10,ROCHESTER,23F,17F,78%,ESE,12mph,0mph,29.92in,0.0in,Cloudy
12/26/2016,9:00,ROCHESTER,39F,31F,73%,S,7mph,0mph,29.70in,0.0in,Cloudy
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/26/2016,8:50,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,8:50,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,11:11,ROCHESTER,43F,33F,68%,SSW,20mph,29mph,29.64in,0.0in,Cloudy
12/26/2016,2:00,ROCHESTER,23F,17F,78%,E,7mph,0mph,29.95in,0.0in,Cloudy
12/26/2016,1:12,ROCHESTER,24F,17F,75%,SE,5mph,0mph,29.96in,0.0in,Cloudy
12/26/2016,14:30,ROCHESTER,46F,37F,71%,SSW,18mph,33mph,29.47in,0.0in,Cloudy
12/26/2016,13:38,ROCHESTER,46F,37F,71%,SSW,25mph,35mph,29.50in,0.0in,Cloudy
12/26/2016,8:58,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,16:20,ROCHESTER,46F,40F,79%,SSW,13mph,23mph,29.43in,0.0in,Cloudy
12/26/2016,8:50,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,11:50,ROCHESTER,43F,33F,68%,SSW,20mph,29mph,29.64in,0.0in,Cloudy
12/26/2016,8:45,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,8:50,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,8:55,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/26/2016,23:28,ROCHESTER,49F,45F,86%,SW,20mph,32mph,29.18in,0.0in,Light
12/26/2016,13:55,ROCHESTER,46F,37F,71%,SSW,25mph,35mph,29.50in,0.0in,Cloudy
12/26/2016,8:50,ROCHESTER,36F,28F,73%,SSE,10mph,0mph,29.72in,0.0in,Cloudy
12/25/2016,15:04,ROCHESTER,32F,25F,75%,ENE,16mph,0mph,29.99in,0.0in,Cloudy
12/25/2016,18:04,ROCHESTER,31F,22F,69%,ENE,14mph,0mph,29.99in,0.0in,Cloudy
12/25/2016,15:00,ROCHESTER,32F,25F,75%,ENE,16mph,0mph,29.99in,0.0in,Cloudy
12/25/2016,23:44,ROCHESTER,29F,21F,72%,ENE,8mph,0mph,30.04in,0.0in,Cloudy
12/25/2016,0:58,ROCHESTER,25F,19F,78%,E,9mph,0mph,30.01in,0.0in,Cloudy
12/25/2016,0:22,ROCHESTER,25F,19F,78%,E,9mph,0mph,30.01in,0.0in,Cloudy
12/24/2016,17:12,ROCHESTER,39F,34F,82%,WNW,13mph,23mph,29.47in,0.0in,Cloudy
12/24/2016,22:13,ROCHESTER,39F,32F,76%,W,9mph,0mph,29.56in,0.0in,Cloudy
12/24/2016,23:20,ROCHESTER,38F,32F,79%,W,12mph,0mph,29.58in,0.0in,Cloudy
12/24/2016,17:59,ROCHESTER,39F,34F,82%,WNW,13mph,23mph,29.47in,0.0in,Cloudy
12/24/2016,19:36,ROCHESTER,39F,33F,79%,WNW,10mph,0mph,29.50in,0.0in,Cloudy
12/24/2016,6:00,ROCHESTER,41F,27F,57%,SSW,9mph,0mph,29.34in,0.0in,Cloudy
12/24/2016,0:20,ROCHESTER,37F,32F,82%,W,12mph,0mph,29.74in,0.0in,Cloudy
12/24/2016,9:03,ROCHESTER,42F,32F,67%,SW,12mph,0mph,29.33in,0.0in,Cloudy
12/24/2016,3:25,ROCHESTER,40F,22F,49%,SSW,10mph,0mph,29.46in,0.0in,Cloudy
12/24/2016,20:45,ROCHESTER,39F,33F,79%,W,10mph,0mph,29.51in,0.0in,Cloudy
12/24/2016,12:00,ROCHESTER,41F,38F,89%,W,12mph,0mph,29.41in,0.0in,Light
12/24/2016,18:00,ROCHESTER,39F,33F,79%,W,9mph,0mph,29.50in,0.0in,Cloudy
12/23/2016,18:44,ROCHESTER,37F,22F,54%,SW,7mph,0mph,29.68in,0.0in,Cloudy
12/23/2016,17:20,ROCHESTER,38F,20F,48%,SW,9mph,0mph,29.69in,0.0in,Cloudy
12/23/2016,15:30,ROCHESTER,39F,22F,50%,SW,15mph,0mph,29.68in,0.0in,Cloudy
12/23/2016,17:46,ROCHESTER,38F,20F,48%,SW,9mph,0mph,29.69in,0.0in,Cloudy
12/23/2016,9:00,ROCHESTER,33F,25F,72%,SW,14mph,0mph,29.70in,0.0in,Partly
12/23/2016,16:00,ROCHESTER,39F,19F,45%,SW,14mph,0mph,29.69in,0.0in,Cloudy
12/23/2016,16:27,ROCHESTER,39F,19F,45%,SW,14mph,0mph,29.69in,0.0in,Cloudy
12/23/2016,6:30,ROCHESTER,34F,26F,73%,WSW,16mph,25mph,29.67in,0.0in,Fair
12/23/2016,18:00,ROCHESTER,37F,22F,54%,SW,7mph,0mph,29.68in,0.0in,Cloudy
12/23/2016,16:39,ROCHESTER,39F,19F,45%,SW,14mph,0mph,29.69in,0.0in,Cloudy
12/23/2016,11:01,ROCHESTER,36F,24F,62%,SSW,12mph,0mph,29.72in,0.0in,Cloudy
12/23/2016,9:54,ROCHESTER,33F,25F,72%,SW,14mph,0mph,29.70in,0.0in,Partly
12/23/2016,4:30,ROCHESTER,31F,24F,76%,SW,9mph,0mph,29.67in,0.0in,Fair
12/23/2016,13:27,ROCHESTER,39F,22F,50%,WSW,15mph,0mph,29.70in,0.0in,Cloudy
12/23/2016,6:43,ROCHESTER,34F,26F,73%,WSW,16mph,25mph,29.67in,0.0in,Fair
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/23/2016,17:00,ROCHESTER,38F,20F,48%,SW,9mph,0mph,29.69in,0.0in,Cloudy
12/22/2016,19:52,ROCHESTER,36F,28F,73%,W,13mph,0mph,29.35in,0.0in,Cloudy
12/22/2016,15:14,ROCHESTER,34F,31F,89%,SW,6mph,0mph,29.29in,0.0in,Cloudy
12/22/2016,12:35,ROCHESTER,34F,32F,92%,SW,6mph,0mph,29.28in,0.0in,Cloudy
12/22/2016,8:22,ROCHESTER,33F,32F,96%,SSW,10mph,0mph,29.31in,0.0in,Light
12/22/2016,19:27,ROCHESTER,36F,28F,73%,W,13mph,0mph,29.35in,0.0in,Cloudy
12/22/2016,1:07,ROCHESTER,33F,31F,92%,S,7mph,0mph,29.37in,0.0in,Light
12/22/2016,3:47,ROCHESTER,34F,31F,89%,E,9mph,0mph,29.34in,0.0in,Cloudy
12/22/2016,17:53,ROCHESTER,36F,30F,79%,W,12mph,0mph,29.31in,0.0in,Cloudy
12/22/2016,21:40,ROCHESTER,36F,27F,70%,W,14mph,24mph,29.35in,0.0in,Cloudy
12/22/2016,21:23,ROCHESTER,36F,27F,70%,W,14mph,24mph,29.35in,0.0in,Cloudy
12/21/2016,17:55,ROCHESTER,36F,28F,73%,WSW,12mph,0mph,29.49in,0.0in,Cloudy
12/21/2016,17:08,ROCHESTER,36F,28F,73%,WSW,12mph,0mph,29.49in,0.0in,Cloudy
12/21/2016,19:00,ROCHESTER,35F,27F,72%,WSW,14mph,0mph,29.51in,0.0in,Cloudy
12/21/2016,7:00,ROCHESTER,32F,24F,73%,WSW,14mph,0mph,29.45in,0.0in,Partly
12/21/2016,17:18,ROCHESTER,36F,28F,73%,WSW,12mph,0mph,29.49in,0.0in,Cloudy
12/21/2016,9:27,ROCHESTER,31F,24F,76%,WSW,13mph,0mph,29.47in,0.0in,Partly
12/21/2016,17:20,ROCHESTER,36F,28F,73%,WSW,12mph,0mph,29.49in,0.0in,Cloudy
12/21/2016,16:20,ROCHESTER,36F,28F,73%,W,17mph,0mph,29.49in,0.0in,Cloudy
12/20/2016,8:37,ROCHESTER,18F,9F,68%,SSW,13mph,0mph,29.83in,0.0in,Cloudy
12/20/2016,9:30,ROCHESTER,20F,11F,68%,SSW,17mph,23mph,29.82in,0.0in,Cloudy
12/20/2016,19:15,ROCHESTER,34F,12F,40%,SW,18mph,25mph,29.39in,0.0in,Cloudy
12/20/2016,6:58,ROCHESTER,17F,9F,71%,SW,12mph,0mph,29.86in,0.0in,Cloudy
12/20/2016,7:28,ROCHESTER,17F,9F,71%,SSW,10mph,0mph,29.86in,0.0in,Cloudy
12/20/2016,23:10,ROCHESTER,34F,16F,48%,WSW,15mph,0mph,29.42in,0.0in,Partly
12/20/2016,0:00,ROCHESTER,34F,16F,48%,WSW,15mph,0mph,29.42in,0.0in,Partly
12/20/2016,13:35,ROCHESTER,28F,12F,51%,SSW,13mph,22mph,29.62in,0.0in,Cloudy
12/20/2016,8:02,ROCHESTER,18F,9F,68%,SSW,13mph,0mph,29.83in,0.0in,Cloudy
12/20/2016,8:15,ROCHESTER,18F,9F,68%,SSW,13mph,0mph,29.83in,0.0in,Cloudy
12/20/2016,6:36,ROCHESTER,17F,9F,71%,SW,12mph,0mph,29.86in,0.0in,Cloudy
12/20/2016,9:51,ROCHESTER,20F,11F,68%,SSW,17mph,23mph,29.82in,0.0in,Cloudy
12/20/2016,17:36,ROCHESTER,34F,13F,42%,SSW,15mph,0mph,29.44in,0.0in,Cloudy
12/20/2016,18:32,ROCHESTER,34F,13F,42%,SSW,16mph,0mph,29.39in,0.0in,Mostly
12/20/2016,9:16,ROCHESTER,20F,11F,68%,SSW,17mph,23mph,29.82in,0.0in,Cloudy
12/20/2016,13:11,ROCHESTER,28F,12F,51%,SSW,13mph,22mph,29.62in,0.0in,Cloudy
12/19/2016,12:15,ROCHESTER,14F,9F,80%,SSW,5mph,0mph,30.08in,0.0in,Cloudy
12/19/2016,15:47,ROCHESTER,21F,9F,60%,SW,10mph,0mph,30.08in,0.0in,Fair
12/19/2016,7:10,ROCHESTER,17F,12F,81%,CALM,0mph,0mph,30.01in,0.0in,Light
12/19/2016,10:12,ROCHESTER,11F,8F,88%,S,5mph,0mph,30.05in,0.0in,Partly
12/19/2016,14:12,ROCHESTER,18F,11F,74%,SW,9mph,0mph,30.10in,0.0in,Cloudy
12/19/2016,9:30,ROCHESTER,11F,7F,84%,SE,5mph,0mph,30.02in,0.0in,Fair
12/19/2016,19:46,ROCHESTER,24F,11F,57%,WSW,14mph,0mph,30.03in,0.0in,Mostly
12/19/2016,0:00,ROCHESTER,22F,10F,60%,SW,7mph,0mph,29.97in,0.0in,Partly
12/19/2016,16:55,ROCHESTER,22F,10F,60%,WSW,12mph,0mph,30.06in,0.0in,Fair
12/18/2016,1:06,ROCHESTER,34F,33F,96%,NNW,6mph,0mph,28.99in,0.1in,Light
12/18/2016,0:00,ROCHESTER,19F,8F,62%,W,6mph,0mph,29.97in,0.0in,Light
12/18/2016,18:10,ROCHESTER,30F,26F,85%,NW,18mph,28mph,29.32in,0.0in,Light
12/18/2016,10:07,ROCHESTER,33F,31F,92%,WNW,12mph,0mph,29.05in,0.0in,Light
12/18/2016,14:01,ROCHESTER,32F,29F,88%,W,18mph,23mph,29.23in,0.0in,Light
12/18/2016,12:19,ROCHESTER,32F,28F,85%,WNW,13mph,25mph,29.20in,0.0in,Wintry
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/18/2016,16:12,ROCHESTER,31F,28F,89%,WNW,18mph,25mph,29.27in,0.0in,Light
12/18/2016,2:45,ROCHESTER,35F,34F,96%,WNW,6mph,0mph,29.00in,0.1in,Light
12/18/2016,15:02,ROCHESTER,32F,29F,88%,W,14mph,24mph,29.24in,0.0in,Light
12/17/2016,0:00,ROCHESTER,34F,32F,92%,CALM,0mph,0mph,29.03in,0.0in,Light
12/17/2016,6:49,ROCHESTER,19F,16F,86%,SSE,9mph,0mph,29.38in,0.0in,Light
12/17/2016,2:40,ROCHESTER,19F,15F,85%,S,7mph,0mph,29.47in,0.0in,Light
12/17/2016,2:26,ROCHESTER,19F,15F,85%,S,7mph,0mph,29.47in,0.0in,Light
12/17/2016,4:10,ROCHESTER,20F,16F,85%,SE,9mph,0mph,29.44in,0.0in,Light
12/17/2016,20:47,ROCHESTER,20F,17F,89%,SSE,9mph,0mph,29.18in,0.0in,Light
12/17/2016,13:43,ROCHESTER,20F,17F,89%,SSE,13mph,0mph,29.23in,0.0in,Snow
12/17/2016,0:00,ROCHESTER,34F,32F,92%,CALM,0mph,0mph,29.03in,0.0in,Light
12/17/2016,19:15,ROCHESTER,20F,17F,89%,S,10mph,0mph,29.19in,0.0in,Light
12/17/2016,8:57,ROCHESTER,20F,15F,81%,SSE,9mph,0mph,29.34in,0.0in,Light
12/17/2016,10:21,ROCHESTER,21F,15F,78%,S,14mph,0mph,29.25in,0.0in,Light
12/17/2016,18:50,ROCHESTER,20F,17F,89%,S,9mph,0mph,29.21in,0.0in,Light
12/17/2016,12:15,ROCHESTER,20F,16F,85%,SSE,12mph,0mph,29.24in,0.0in,Light
12/17/2016,13:24,ROCHESTER,20F,17F,89%,SSE,13mph,0mph,29.23in,0.0in,Snow
12/17/2016,2:08,ROCHESTER,19F,15F,85%,S,7mph,0mph,29.47in,0.0in,Light
12/17/2016,4:47,ROCHESTER,20F,16F,85%,SE,9mph,0mph,29.44in,0.0in,Light
12/17/2016,0:00,ROCHESTER,34F,32F,92%,CALM,0mph,0mph,29.03in,0.0in,Light
12/17/2016,0:00,ROCHESTER,34F,32F,92%,CALM,0mph,0mph,29.03in,0.0in,Light
12/17/2016,13:15,ROCHESTER,20F,17F,89%,SSE,13mph,0mph,29.23in,0.0in,Snow
12/16/2016,15:25,ROCHESTER,23F,12F,63%,WSW,15mph,0mph,29.65in,0.0in,Mostly
12/16/2016,9:13,ROCHESTER,11F,8F,88%,S,3mph,0mph,29.65in,0.0in,Light
12/16/2016,11:29,ROCHESTER,17F,10F,74%,WSW,12mph,0mph,29.67in,0.0in,Light
12/16/2016,7:30,ROCHESTER,12F,7F,80%,SW,8mph,0mph,29.65in,0.0in,Light
12/16/2016,5:50,ROCHESTER,14F,10F,84%,SSW,5mph,0mph,29.64in,0.0in,Light
12/16/2016,13:02,ROCHESTER,20F,10F,65%,WSW,20mph,0mph,29.68in,0.1in,Blowing
12/16/2016,12:00,ROCHESTER,19F,9F,65%,WSW,16mph,22mph,29.68in,0.0in,Light
12/16/2016,15:10,ROCHESTER,23F,12F,63%,WSW,15mph,0mph,29.65in,0.0in,Mostly
12/16/2016,20:34,ROCHESTER,22F,9F,58%,SW,9mph,0mph,29.63in,0.0in,Cloudy
12/16/2016,11:24,ROCHESTER,17F,10F,74%,WSW,12mph,0mph,29.67in,0.0in,Light
12/16/2016,17:27,ROCHESTER,22F,12F,66%,SW,7mph,0mph,29.63in,0.0in,Cloudy
12/16/2016,6:28,ROCHESTER,14F,10F,84%,SW,6mph,0mph,29.64in,0.0in,Light
12/16/2016,21:46,ROCHESTER,22F,9F,58%,S,6mph,0mph,29.61in,0.0in,Cloudy
12/16/2016,10:32,ROCHESTER,15F,10F,80%,SSW,5mph,0mph,29.66in,0.0in,Light
12/16/2016,0:06,ROCHESTER,21F,10F,63%,S,8mph,0mph,29.53in,0.0in,Light
12/16/2016,16:00,ROCHESTER,22F,12F,66%,SW,13mph,0mph,29.65in,0.0in,Cloudy
12/16/2016,8:22,ROCHESTER,12F,7F,80%,CALM,0mph,0mph,29.65in,0.0in,Light
12/15/2016,10:50,ROCHESTER,12F,7F,80%,W,18mph,25mph,29.25in,0.0in,Light
12/15/2016,7:38,ROCHESTER,13F,2F,62%,W,21mph,33mph,29.23in,0.0in,Light
12/15/2016,7:21,ROCHESTER,13F,2F,62%,W,21mph,33mph,29.23in,0.0in,Light
12/15/2016,17:30,ROCHESTER,12F,9F,88%,W,15mph,0mph,29.32in,0.0in,Heavy
12/15/2016,20:05,ROCHESTER,12F,8F,84%,W,15mph,0mph,29.34in,0.0in,Light
12/15/2016,9:10,ROCHESTER,12F,7F,80%,W,18mph,31mph,29.25in,0.0in,Snow
12/15/2016,14:31,ROCHESTER,12F,9F,85%,W,16mph,0mph,29.31in,0.0in,Heavy
12/15/2016,6:22,ROCHESTER,13F,2F,62%,W,21mph,29mph,29.22in,0.0in,Light
12/15/2016,15:32,ROCHESTER,12F,8F,84%,WNW,15mph,0mph,29.31in,0.0in,Heavy
12/15/2016,22:11,ROCHESTER,14F,6F,71%,W,23mph,31mph,29.36in,0.0in,Light
12/15/2016,0:00,ROCHESTER,14F,10F,84%,W,12mph,0mph,29.58in,0.0in,Heavy
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/15/2016,12:15,ROCHESTER,12F,7F,80%,W,16mph,28mph,29.29in,0.0in,Light
12/15/2016,7:50,ROCHESTER,13F,2F,62%,W,21mph,33mph,29.23in,0.0in,Light
12/15/2016,10:37,ROCHESTER,12F,7F,80%,W,18mph,25mph,29.25in,0.0in,Light
12/15/2016,11:15,ROCHESTER,12F,7F,80%,W,16mph,30mph,29.26in,0.0in,Light
12/15/2016,12:43,ROCHESTER,12F,7F,80%,W,16mph,28mph,29.29in,0.0in,Light
12/15/2016,9:15,ROCHESTER,12F,7F,80%,W,18mph,31mph,29.25in,0.0in,Snow
12/15/2016,12:22,ROCHESTER,12F,7F,80%,W,16mph,28mph,29.29in,0.0in,Light
12/15/2016,10:43,ROCHESTER,12F,7F,80%,W,18mph,25mph,29.25in,0.0in,Light
12/15/2016,15:00,ROCHESTER,12F,8F,84%,WNW,15mph,0mph,29.31in,0.0in,Heavy
12/15/2016,6:30,ROCHESTER,13F,2F,62%,W,21mph,29mph,29.22in,0.0in,Light
12/15/2016,12:37,ROCHESTER,12F,7F,80%,W,16mph,28mph,29.29in,0.0in,Light
12/15/2016,8:00,ROCHESTER,13F,4F,67%,W,21mph,33mph,29.24in,0.0in,Light
12/15/2016,22:30,ROCHESTER,14F,6F,71%,W,23mph,31mph,29.36in,0.0in,Light
12/15/2016,11:20,ROCHESTER,12F,7F,80%,W,16mph,30mph,29.26in,0.0in,Light
12/15/2016,8:00,ROCHESTER,13F,4F,67%,W,21mph,33mph,29.24in,0.0in,Light
12/15/2016,7:36,ROCHESTER,13F,2F,62%,W,21mph,33mph,29.23in,0.0in,Light
12/15/2016,15:29,ROCHESTER,12F,8F,84%,WNW,15mph,0mph,29.31in,0.0in,Heavy
12/14/2016,18:30,ROCHESTER,26F,19F,75%,W,13mph,0mph,29.30in,0.0in,Light
12/14/2016,20:50,ROCHESTER,26F,17F,69%,W,24mph,31mph,29.29in,0.0in,Light
12/14/2016,7:28,ROCHESTER,17F,7F,65%,W,12mph,0mph,29.46in,0.0in,Fair
12/14/2016,13:01,ROCHESTER,23F,13F,65%,SW,16mph,0mph,29.37in,0.0in,Mostly
12/14/2016,14:40,ROCHESTER,25F,17F,72%,WSW,10mph,0mph,29.33in,0.0in,Light
12/14/2016,15:27,ROCHESTER,24F,19F,81%,WSW,12mph,0mph,29.32in,0.0in,Light
12/14/2016,14:34,ROCHESTER,25F,17F,72%,WSW,10mph,0mph,29.33in,0.0in,Light
12/14/2016,11:03,ROCHESTER,21F,4F,48%,W,17mph,0mph,29.45in,0.0in,Fair
12/14/2016,17:51,ROCHESTER,25F,19F,78%,WSW,10mph,0mph,29.31in,0.0in,Light
12/14/2016,15:30,ROCHESTER,24F,19F,81%,WSW,12mph,0mph,29.32in,0.0in,Light
12/14/2016,18:39,ROCHESTER,26F,19F,75%,W,13mph,0mph,29.30in,0.0in,Light
12/14/2016,9:41,ROCHESTER,18F,6F,60%,WSW,14mph,0mph,29.47in,0.0in,Fair
12/14/2016,14:36,ROCHESTER,25F,17F,72%,WSW,10mph,0mph,29.33in,0.0in,Light
12/14/2016,12:03,ROCHESTER,22F,7F,53%,WSW,16mph,0mph,29.41in,0.0in,Mostly
12/14/2016,17:11,ROCHESTER,25F,19F,78%,WSW,10mph,0mph,29.31in,0.0in,Light
12/14/2016,17:30,ROCHESTER,25F,19F,78%,WSW,10mph,0mph,29.31in,0.0in,Light
12/14/2016,22:11,ROCHESTER,25F,18F,75%,W,15mph,25mph,29.29in,0.0in,Light
12/13/2016,23:00,ROCHESTER,34F,24F,67%,SSW,7mph,0mph,29.36in,0.0in,Cloudy
12/13/2016,14:57,ROCHESTER,34F,21F,59%,WSW,14mph,0mph,29.48in,0.0in,Partly
12/13/2016,10:51,ROCHESTER,30F,23F,75%,N,5mph,0mph,29.47in,0.0in,Cloudy
12/13/2016,10:32,ROCHESTER,30F,23F,75%,N,5mph,0mph,29.47in,0.0in,Cloudy
12/13/2016,7:26,ROCHESTER,30F,22F,72%,SW,6mph,0mph,29.47in,0.0in,Cloudy
12/13/2016,8:07,ROCHESTER,31F,22F,69%,CALM,0mph,0mph,29.47in,0.0in,Light
12/13/2016,8:16,ROCHESTER,31F,22F,69%,CALM,0mph,0mph,29.47in,0.0in,Light
12/13/2016,16:20,ROCHESTER,33F,19F,56%,WSW,17mph,0mph,29.46in,0.0in,Cloudy
12/13/2016,0:00,ROCHESTER,33F,26F,75%,W,16mph,0mph,29.35in,0.0in,Light
12/13/2016,17:48,ROCHESTER,33F,19F,56%,WSW,15mph,0mph,29.42in,0.0in,Cloudy
12/12/2016,10:17,ROCHESTER,32F,29F,88%,SW,10mph,0mph,29.10in,0.0in,Light
12/12/2016,10:20,ROCHESTER,32F,29F,88%,SW,10mph,0mph,29.10in,0.0in,Light
12/12/2016,15:00,ROCHESTER,36F,32F,87%,WSW,12mph,0mph,29.12in,0.0in,Cloudy
12/12/2016,1:16,ROCHESTER,29F,27F,92%,S,12mph,0mph,29.27in,0.0in,Light
12/12/2016,17:25,ROCHESTER,37F,33F,86%,WSW,10mph,0mph,29.13in,0.0in,Cloudy
12/12/2016,0:54,ROCHESTER,33F,22F,64%,W,15mph,0mph,29.42in,0.0in,Partly
Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/12/2016,19:00,ROCHESTER,38F,33F,83%,WSW,13mph,0mph,29.13in,0.0in,Cloudy
12/12/2016,17:00,ROCHESTER,37F,33F,86%,WSW,10mph,0mph,29.13in,0.0in,Cloudy
