Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/30/2016,20:10,KINGS,37F,27F,67%,W,13mph,26mph,29.79in,0.0in,Cloudy
12/30/2016,0:30,KINGS,36F,18F,48%,W,18mph,26mph,29.94in,0.0in,Partly
12/30/2016,18:20,KINGS,36F,31F,82%,W,13mph,21mph,29.79in,0.0in,Light
12/30/2016,4:10,KINGS,39F,25F,57%,WSW,17mph,26mph,29.53in,0.0in,Fair
12/30/2016,10:05,KINGS,40F,24F,53%,W,15mph,25mph,29.62in,0.0in,Fair
12/30/2016,8:45,KINGS,37F,25F,62%,WSW,15mph,28mph,29.58in,0.0in,Fair
12/30/2016,11:50,KINGS,41F,23F,49%,W,20mph,28mph,29.63in,0.0in,Mostly
12/30/2016,6:00,KINGS,38F,25F,60%,W,15mph,24mph,29.55in,0.0in,Fair
12/30/2016,17:30,KINGS,36F,28F,73%,NNW,17mph,31mph,29.75in,0.0in,Light
12/30/2016,14:50,KINGS,41F,20F,43%,W,16mph,30mph,29.66in,0.0in,Mostly
12/30/2016,0:15,KINGS,36F,18F,48%,W,18mph,26mph,29.94in,0.0in,Partly
12/30/2016,12:38,KINGS,42F,21F,43%,W,20mph,29mph,29.63in,0.0in,Mostly
12/30/2016,19:16,KINGS,37F,27F,65%,W,12mph,26mph,29.79in,0.0in,Cloudy
12/30/2016,0:01,KINGS,36F,18F,48%,W,18mph,26mph,29.94in,0.0in,Partly
12/30/2016,11:23,KINGS,41F,23F,49%,W,20mph,28mph,29.63in,0.0in,Mostly
12/30/2016,6:50,KINGS,38F,25F,60%,W,15mph,24mph,29.55in,0.0in,Fair
12/30/2016,19:00,KINGS,37F,27F,65%,W,12mph,26mph,29.79in,0.0in,Cloudy
12/30/2016,17:26,KINGS,36F,28F,73%,NNW,17mph,31mph,29.75in,0.0in,Light
12/30/2016,15:10,KINGS,42F,20F,41%,W,21mph,31mph,29.69in,0.0in,Fair
12/30/2016,0:25,KINGS,36F,18F,48%,W,18mph,26mph,29.94in,0.0in,Partly
12/30/2016,21:45,KINGS,38F,26F,62%,W,15mph,0mph,29.83in,0.0in,Partly
12/30/2016,12:38,KINGS,42F,21F,43%,W,20mph,29mph,29.63in,0.0in,Mostly
12/30/2016,19:10,KINGS,37F,27F,65%,W,12mph,26mph,29.79in,0.0in,Cloudy
12/30/2016,14:30,KINGS,41F,20F,43%,W,16mph,30mph,29.66in,0.0in,Mostly
12/30/2016,16:20,KINGS,42F,20F,41%,W,21mph,32mph,29.71in,0.0in,Mostly
12/30/2016,8:45,KINGS,37F,25F,62%,WSW,15mph,28mph,29.58in,0.0in,Fair
12/30/2016,16:00,KINGS,42F,20F,41%,W,21mph,32mph,29.71in,0.0in,Mostly
12/30/2016,23:00,KINGS,37F,24F,59%,W,9mph,0mph,29.89in,0.0in,Fair
12/30/2016,12:00,KINGS,42F,21F,43%,W,20mph,29mph,29.63in,0.0in,Mostly
12/30/2016,7:30,KINGS,38F,26F,62%,W,16mph,28mph,29.57in,0.0in,Fair
12/30/2016,17:35,KINGS,36F,28F,73%,NNW,17mph,31mph,29.75in,0.0in,Light
12/30/2016,18:15,KINGS,36F,31F,82%,W,13mph,21mph,29.79in,0.0in,Light
12/30/2016,18:15,KINGS,36F,31F,82%,W,13mph,21mph,29.79in,0.0in,Light
12/30/2016,12:30,KINGS,42F,21F,43%,W,20mph,29mph,29.63in,0.0in,Mostly
12/30/2016,12:10,KINGS,42F,21F,43%,W,20mph,29mph,29.63in,0.0in,Mostly
12/30/2016,10:50,KINGS,40F,24F,53%,W,15mph,25mph,29.62in,0.0in,Fair
12/30/2016,18:28,KINGS,36F,31F,82%,W,13mph,21mph,29.79in,0.0in,Light
12/30/2016,14:30,KINGS,41F,20F,43%,W,16mph,30mph,29.66in,0.0in,Mostly
12/30/2016,22:25,KINGS,37F,26F,65%,WNW,15mph,0mph,29.86in,0.0in,Fair
12/30/2016,10:45,KINGS,40F,24F,53%,W,15mph,25mph,29.62in,0.0in,Fair
12/30/2016,17:30,KINGS,36F,28F,73%,NNW,17mph,31mph,29.75in,0.0in,Light
12/30/2016,0:20,KINGS,36F,18F,48%,W,18mph,26mph,29.94in,0.0in,Partly
12/30/2016,10:30,KINGS,40F,24F,53%,W,15mph,25mph,29.62in,0.0in,Fair
12/30/2016,17:04,KINGS,36F,28F,73%,NNW,17mph,31mph,29.75in,0.0in,Light
12/30/2016,9:30,KINGS,38F,25F,60%,W,18mph,26mph,29.60in,0.0in,Partly
12/30/2016,19:55,KINGS,37F,27F,65%,W,12mph,26mph,29.79in,0.0in,Cloudy
12/30/2016,13:30,KINGS,41F,22F,47%,WNW,21mph,29mph,29.65in,0.0in,Mostly
12/30/2016,17:30,KINGS,36F,28F,73%,NNW,17mph,31mph,29.75in,0.0in,Light
12/30/2016,8:15,KINGS,37F,25F,62%,WSW,15mph,28mph,29.58in,0.0in,Fair
12/30/2016,12:16,KINGS,42F,21F,43%,W,20mph,29mph,29.63in,0.0in,Mostly
12/30/2016,0:00,KINGS,36F,18F,48%,W,18mph,26mph,29.94in,0.0in,Partly
12/29/2016,13:45,KINGS,45F,41F,86%,SSE,15mph,0mph,29.67in,0.0in,Light
12/29/2016,15:00,KINGS,46F,43F,89%,SSE,8mph,0mph,29.54in,0.1in,Light
12/29/2016,19:55,KINGS,47F,45F,93%,SSE,5mph,0mph,29.52in,0.1in,Light
12/29/2016,20:45,KINGS,47F,45F,93%,SSW,3mph,0mph,29.52in,0.0in,Rain
12/29/2016,15:10,KINGS,46F,43F,89%,SSE,8mph,0mph,29.54in,0.1in,Light
12/29/2016,13:00,KINGS,45F,41F,86%,SSE,15mph,0mph,29.67in,0.0in,Light
12/29/2016,22:00,KINGS,48F,43F,83%,W,22mph,26mph,29.53in,0.1in,Light
12/29/2016,16:30,KINGS,47F,44F,90%,SE,7mph,0mph,29.53in,0.0in,Rain
12/29/2016,17:00,KINGS,47F,43F,86%,SE,14mph,20mph,29.52in,0.0in,Rain
12/29/2016,11:10,KINGS,45F,40F,82%,S,12mph,0mph,29.75in,0.1in,Light
12/29/2016,8:50,KINGS,39F,29F,67%,ENE,8mph,0mph,29.89in,0.0in,Cloudy
12/29/2016,14:20,KINGS,46F,43F,89%,SSE,10mph,0mph,29.60in,0.1in,Light
12/29/2016,13:00,KINGS,45F,41F,86%,SSE,15mph,0mph,29.67in,0.0in,Light
12/29/2016,10:00,KINGS,44F,38F,79%,S,13mph,0mph,29.82in,0.1in,Light
12/29/2016,12:50,KINGS,45F,41F,86%,SSE,10mph,0mph,29.68in,0.1in,Rain
12/29/2016,9:30,KINGS,43F,34F,71%,SE,8mph,0mph,29.85in,0.0in,Light
12/29/2016,16:45,KINGS,47F,44F,90%,SE,7mph,0mph,29.53in,0.0in,Rain
12/29/2016,10:10,KINGS,44F,38F,79%,S,13mph,0mph,29.82in,0.1in,Light
12/29/2016,15:00,KINGS,46F,43F,89%,SSE,8mph,0mph,29.54in,0.1in,Light
12/29/2016,16:26,KINGS,47F,44F,90%,SE,7mph,0mph,29.53in,0.0in,Rain
12/29/2016,21:30,KINGS,47F,44F,90%,WNW,8mph,0mph,29.52in,0.0in,Heavy
12/29/2016,19:50,KINGS,47F,45F,93%,SSE,5mph,0mph,29.52in,0.1in,Light
12/29/2016,12:15,KINGS,45F,41F,86%,SSE,10mph,0mph,29.68in,0.1in,Rain
12/29/2016,12:02,KINGS,45F,41F,86%,SSE,10mph,0mph,29.68in,0.1in,Rain
12/29/2016,11:43,KINGS,45F,40F,82%,S,12mph,0mph,29.75in,0.1in,Light
12/29/2016,9:20,KINGS,43F,34F,71%,SE,8mph,0mph,29.85in,0.0in,Light
12/29/2016,0:00,KINGS,40F,27F,60%,W,16mph,0mph,29.53in,0.0in,Mostly
12/29/2016,13:30,KINGS,45F,41F,86%,SSE,15mph,0mph,29.67in,0.0in,Light
12/29/2016,13:35,KINGS,45F,41F,86%,SSE,15mph,0mph,29.67in,0.0in,Light
12/29/2016,7:21,KINGS,37F,27F,67%,E,3mph,0mph,29.95in,0.0in,Cloudy
12/29/2016,21:00,KINGS,47F,44F,90%,WNW,8mph,0mph,29.52in,0.0in,Heavy
12/29/2016,12:05,KINGS,45F,41F,86%,SSE,10mph,0mph,29.68in,0.1in,Rain
12/29/2016,8:50,KINGS,39F,29F,67%,ENE,8mph,0mph,29.89in,0.0in,Cloudy
12/29/2016,10:00,KINGS,44F,38F,79%,S,13mph,0mph,29.82in,0.1in,Light
12/29/2016,8:45,KINGS,39F,29F,67%,ENE,8mph,0mph,29.89in,0.0in,Cloudy
12/29/2016,10:15,KINGS,44F,38F,79%,S,13mph,0mph,29.82in,0.1in,Light
12/29/2016,16:55,KINGS,47F,44F,90%,SE,7mph,0mph,29.53in,0.0in,Rain
12/29/2016,20:35,KINGS,47F,45F,93%,SSW,3mph,0mph,29.52in,0.0in,Rain
12/29/2016,16:00,KINGS,47F,44F,90%,SE,7mph,0mph,29.53in,0.0in,Rain
12/29/2016,0:00,KINGS,40F,27F,60%,W,16mph,0mph,29.53in,0.0in,Mostly
12/28/2016,21:15,KINGS,37F,20F,50%,N,6mph,0mph,30.15in,0.0in,Partly
12/28/2016,23:00,KINGS,37F,21F,52%,N,7mph,0mph,30.13in,0.0in,Fair
12/28/2016,16:35,KINGS,39F,20F,46%,NW,13mph,0mph,30.11in,0.0in,Partly
12/28/2016,22:21,KINGS,37F,20F,50%,N,6mph,0mph,30.13in,0.0in,Fair
12/28/2016,13:00,KINGS,40F,23F,51%,NW,21mph,24mph,30.09in,0.0in,Cloudy
12/28/2016,7:30,KINGS,41F,26F,55%,WNW,12mph,0mph,30.03in,0.0in,Mostly
12/28/2016,13:03,KINGS,40F,23F,51%,NW,21mph,24mph,30.09in,0.0in,Cloudy
12/28/2016,18:30,KINGS,39F,22F,50%,NW,14mph,0mph,30.13in,0.0in,Partly
12/28/2016,14:15,KINGS,40F,22F,49%,WNW,17mph,0mph,30.09in,0.0in,Cloudy
12/28/2016,1:30,KINGS,41F,27F,57%,NW,20mph,25mph,29.93in,0.0in,Partly
12/28/2016,18:20,KINGS,39F,22F,50%,NW,14mph,0mph,30.13in,0.0in,Partly
12/28/2016,17:50,KINGS,39F,21F,49%,NW,17mph,0mph,30.12in,0.0in,Partly
12/28/2016,19:30,KINGS,38F,22F,53%,NW,15mph,0mph,30.14in,0.0in,Fair
12/28/2016,11:43,KINGS,41F,25F,53%,NW,16mph,22mph,30.10in,0.0in,Cloudy
12/28/2016,14:54,KINGS,40F,22F,49%,WNW,17mph,0mph,30.09in,0.0in,Cloudy
12/28/2016,6:00,KINGS,40F,27F,60%,NW,9mph,0mph,30.00in,0.0in,Mostly
12/28/2016,0:00,KINGS,37F,21F,52%,N,7mph,0mph,30.13in,0.0in,Fair
12/28/2016,17:22,KINGS,39F,21F,49%,NW,17mph,0mph,30.12in,0.0in,Partly
12/28/2016,15:23,KINGS,40F,22F,49%,WNW,18mph,25mph,30.10in,0.0in,Cloudy
12/28/2016,4:50,KINGS,41F,26F,55%,WNW,12mph,0mph,29.96in,0.0in,Cloudy
12/28/2016,8:30,KINGS,41F,25F,53%,NW,17mph,23mph,30.06in,0.0in,Mostly
12/28/2016,21:30,KINGS,37F,20F,50%,N,6mph,0mph,30.15in,0.0in,Partly
12/28/2016,13:50,KINGS,40F,23F,51%,NW,21mph,24mph,30.09in,0.0in,Cloudy
12/28/2016,17:18,KINGS,39F,21F,49%,NW,17mph,0mph,30.12in,0.0in,Partly
12/28/2016,14:59,KINGS,40F,22F,49%,WNW,17mph,0mph,30.09in,0.0in,Cloudy
12/28/2016,8:20,KINGS,41F,25F,53%,NW,17mph,23mph,30.06in,0.0in,Mostly
12/28/2016,12:10,KINGS,40F,25F,55%,NW,15mph,0mph,30.10in,0.0in,Cloudy
12/28/2016,13:55,KINGS,40F,23F,51%,NW,21mph,24mph,30.09in,0.0in,Cloudy
12/28/2016,8:37,KINGS,41F,25F,53%,NW,17mph,23mph,30.06in,0.0in,Mostly
12/28/2016,23:00,KINGS,37F,21F,52%,N,7mph,0mph,30.13in,0.0in,Fair
12/28/2016,18:15,KINGS,39F,22F,50%,NW,14mph,0mph,30.13in,0.0in,Partly
12/28/2016,11:30,KINGS,41F,25F,53%,NW,16mph,22mph,30.10in,0.0in,Cloudy
12/28/2016,16:00,KINGS,39F,20F,46%,NW,13mph,0mph,30.11in,0.0in,Partly
12/28/2016,10:30,KINGS,41F,25F,53%,NW,15mph,26mph,30.10in,0.0in,Cloudy
12/28/2016,8:58,KINGS,41F,25F,53%,NW,17mph,23mph,30.06in,0.0in,Mostly
12/28/2016,20:00,KINGS,38F,21F,51%,NW,10mph,0mph,30.15in,0.0in,Partly
12/28/2016,18:20,KINGS,39F,22F,50%,NW,14mph,0mph,30.13in,0.0in,Partly
12/28/2016,22:45,KINGS,37F,20F,50%,N,6mph,0mph,30.13in,0.0in,Fair
12/28/2016,14:25,KINGS,40F,22F,49%,WNW,17mph,0mph,30.09in,0.0in,Cloudy
12/28/2016,22:03,KINGS,37F,20F,50%,N,6mph,0mph,30.13in,0.0in,Fair
12/28/2016,9:15,KINGS,41F,25F,53%,NW,15mph,0mph,30.08in,0.0in,Cloudy
12/28/2016,11:47,KINGS,41F,25F,53%,NW,16mph,22mph,30.10in,0.0in,Cloudy
12/28/2016,9:13,KINGS,41F,25F,53%,NW,15mph,0mph,30.08in,0.0in,Cloudy
12/28/2016,22:15,KINGS,37F,20F,50%,N,6mph,0mph,30.13in,0.0in,Fair
12/28/2016,22:02,KINGS,37F,20F,50%,N,6mph,0mph,30.13in,0.0in,Fair
12/28/2016,9:20,KINGS,41F,25F,53%,NW,15mph,0mph,30.08in,0.0in,Cloudy
12/28/2016,18:01,KINGS,39F,22F,50%,NW,14mph,0mph,30.13in,0.0in,Partly
12/28/2016,1:15,KINGS,41F,27F,57%,NW,20mph,25mph,29.93in,0.0in,Partly
12/28/2016,9:46,KINGS,41F,25F,53%,NW,15mph,0mph,30.08in,0.0in,Cloudy
12/28/2016,12:20,KINGS,40F,25F,55%,NW,15mph,0mph,30.10in,0.0in,Cloudy
12/28/2016,11:40,KINGS,41F,25F,53%,NW,16mph,22mph,30.10in,0.0in,Cloudy
12/28/2016,20:25,KINGS,38F,21F,51%,NW,10mph,0mph,30.15in,0.0in,Partly
12/28/2016,19:13,KINGS,38F,22F,53%,NW,15mph,0mph,30.14in,0.0in,Fair
12/28/2016,18:00,KINGS,39F,22F,50%,NW,14mph,0mph,30.13in,0.0in,Partly
12/28/2016,16:16,KINGS,39F,20F,46%,NW,13mph,0mph,30.11in,0.0in,Partly
12/27/2016,11:49,KINGS,59F,52F,78%,WSW,16mph,0mph,29.80in,0.0in,Mostly
12/27/2016,13:19,KINGS,57F,52F,83%,W,16mph,24mph,29.79in,0.0in,Light
12/27/2016,9:10,KINGS,58F,51F,78%,SW,18mph,28mph,29.82in,0.0in,Cloudy
12/27/2016,18:40,KINGS,62F,37F,39%,W,9mph,0mph,29.74in,0.0in,Partly
12/27/2016,21:06,KINGS,57F,30F,36%,WNW,16mph,25mph,29.81in,0.0in,Partly
12/27/2016,22:00,KINGS,53F,34F,48%,NNW,14mph,0mph,29.83in,0.0in,Fair
12/27/2016,17:55,KINGS,61F,41F,48%,WSW,14mph,24mph,29.74in,0.0in,Cloudy
12/27/2016,0:00,KINGS,43F,28F,56%,NW,13mph,0mph,29.92in,0.0in,Fair
12/27/2016,8:15,KINGS,57F,50F,77%,SW,20mph,30mph,29.85in,0.0in,Cloudy
12/27/2016,10:30,KINGS,58F,51F,78%,SW,18mph,25mph,29.80in,0.0in,Cloudy
12/27/2016,16:35,KINGS,61F,45F,56%,W,21mph,28mph,29.75in,0.0in,Mostly
12/27/2016,22:13,KINGS,53F,34F,48%,NNW,14mph,0mph,29.83in,0.0in,Fair
12/27/2016,12:20,KINGS,59F,52F,78%,WSW,10mph,22mph,29.81in,0.0in,Cloudy
12/27/2016,13:18,KINGS,57F,52F,83%,W,16mph,24mph,29.79in,0.0in,Light
12/27/2016,14:15,KINGS,58F,52F,81%,W,14mph,0mph,29.78in,0.0in,Cloudy
12/27/2016,19:40,KINGS,60F,33F,36%,WNW,17mph,28mph,29.76in,0.0in,Fair
12/27/2016,16:17,KINGS,61F,45F,56%,W,21mph,28mph,29.75in,0.0in,Mostly
12/27/2016,11:30,KINGS,59F,52F,78%,WSW,16mph,0mph,29.80in,0.0in,Mostly
12/27/2016,15:35,KINGS,58F,51F,78%,W,21mph,29mph,29.77in,0.0in,Cloudy
12/27/2016,22:00,KINGS,53F,34F,48%,NNW,14mph,0mph,29.83in,0.0in,Fair
12/27/2016,20:40,KINGS,59F,32F,36%,WNW,16mph,0mph,29.78in,0.0in,Partly
12/27/2016,17:00,KINGS,61F,41F,48%,WSW,14mph,24mph,29.74in,0.0in,Cloudy
12/27/2016,17:55,KINGS,61F,41F,48%,WSW,14mph,24mph,29.74in,0.0in,Cloudy
12/27/2016,16:45,KINGS,61F,45F,56%,W,21mph,28mph,29.75in,0.0in,Mostly
12/27/2016,17:50,KINGS,61F,41F,48%,WSW,14mph,24mph,29.74in,0.0in,Cloudy
12/27/2016,20:09,KINGS,59F,32F,36%,WNW,16mph,0mph,29.78in,0.0in,Partly
12/27/2016,17:30,KINGS,61F,41F,48%,WSW,14mph,24mph,29.74in,0.0in,Cloudy
12/27/2016,14:00,KINGS,58F,52F,81%,W,14mph,0mph,29.78in,0.0in,Cloudy
12/27/2016,7:55,KINGS,57F,50F,77%,SW,20mph,30mph,29.87in,0.0in,Cloudy
12/27/2016,9:07,KINGS,58F,51F,78%,SW,18mph,28mph,29.82in,0.0in,Cloudy
12/27/2016,12:45,KINGS,59F,52F,78%,WSW,10mph,22mph,29.81in,0.0in,Cloudy
12/27/2016,15:05,KINGS,58F,51F,78%,W,21mph,29mph,29.77in,0.0in,Cloudy
12/27/2016,11:45,KINGS,59F,52F,78%,WSW,16mph,0mph,29.80in,0.0in,Mostly
12/27/2016,14:55,KINGS,58F,52F,81%,W,14mph,0mph,29.78in,0.0in,Cloudy
12/27/2016,9:00,KINGS,58F,51F,78%,SW,18mph,28mph,29.82in,0.0in,Cloudy
12/27/2016,14:40,KINGS,58F,52F,81%,W,14mph,0mph,29.78in,0.0in,Cloudy
12/27/2016,18:42,KINGS,62F,37F,39%,W,9mph,0mph,29.74in,0.0in,Partly
12/27/2016,13:30,KINGS,57F,52F,83%,W,16mph,24mph,29.79in,0.0in,Light
12/27/2016,14:30,KINGS,58F,52F,81%,W,14mph,0mph,29.78in,0.0in,Cloudy
12/27/2016,17:50,KINGS,61F,41F,48%,WSW,14mph,24mph,29.74in,0.0in,Cloudy
12/27/2016,18:30,KINGS,62F,37F,39%,W,9mph,0mph,29.74in,0.0in,Partly
12/27/2016,9:25,KINGS,58F,51F,78%,SW,18mph,28mph,29.82in,0.0in,Cloudy
12/27/2016,0:00,KINGS,43F,28F,56%,NW,13mph,0mph,29.92in,0.0in,Fair
12/27/2016,0:00,KINGS,43F,28F,56%,NW,13mph,0mph,29.92in,0.0in,Fair
12/27/2016,5:20,KINGS,55F,50F,83%,WSW,14mph,18mph,29.96in,0.0in,Cloudy
12/27/2016,16:00,KINGS,61F,45F,56%,W,21mph,28mph,29.75in,0.0in,Mostly
12/27/2016,8:50,KINGS,57F,50F,77%,SW,20mph,30mph,29.85in,0.0in,Cloudy
12/27/2016,15:00,KINGS,58F,51F,78%,W,21mph,29mph,29.77in,0.0in,Cloudy
12/27/2016,12:50,KINGS,59F,52F,78%,WSW,10mph,22mph,29.81in,0.0in,Cloudy
12/26/2016,15:00,KINGS,40F,32F,73%,NE,9mph,0mph,30.54in,0.0in,Cloudy
12/26/2016,20:43,KINGS,44F,39F,82%,NE,6mph,0mph,30.40in,0.0in,Light
12/26/2016,12:10,KINGS,38F,30F,73%,NE,12mph,0mph,30.61in,0.0in,Cloudy
12/26/2016,20:00,KINGS,44F,39F,82%,NE,6mph,0mph,30.40in,0.0in,Light
12/26/2016,21:33,KINGS,48F,44F,86%,S,13mph,20mph,30.36in,0.0in,Light
12/26/2016,20:25,KINGS,44F,39F,82%,NE,6mph,0mph,30.40in,0.0in,Light
12/26/2016,14:45,KINGS,39F,31F,73%,NE,9mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,16:35,KINGS,41F,36F,82%,NE,9mph,0mph,30.50in,0.0in,Light
12/26/2016,22:50,KINGS,48F,44F,86%,S,15mph,0mph,30.37in,0.0in,Cloudy
12/26/2016,13:00,KINGS,39F,30F,70%,NE,8mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,14:00,KINGS,39F,31F,73%,NE,9mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,21:50,KINGS,48F,44F,86%,S,13mph,20mph,30.36in,0.0in,Light
12/26/2016,19:29,KINGS,45F,39F,81%,ENE,7mph,0mph,30.40in,0.0in,Light
12/26/2016,16:30,KINGS,41F,36F,82%,NE,9mph,0mph,30.50in,0.0in,Light
12/26/2016,16:00,KINGS,41F,36F,82%,NE,9mph,0mph,30.50in,0.0in,Light
12/26/2016,18:30,KINGS,41F,38F,89%,NE,8mph,0mph,30.42in,0.0in,Light
12/26/2016,10:55,KINGS,38F,28F,68%,NE,13mph,0mph,30.70in,0.0in,Cloudy
12/26/2016,15:45,KINGS,40F,32F,73%,NE,9mph,0mph,30.54in,0.0in,Cloudy
12/26/2016,19:00,KINGS,45F,39F,81%,ENE,7mph,0mph,30.40in,0.0in,Light
12/26/2016,3:30,KINGS,35F,18F,50%,ENE,12mph,0mph,30.72in,0.0in,Cloudy
12/26/2016,11:13,KINGS,38F,29F,70%,NE,12mph,0mph,30.66in,0.0in,Cloudy
12/26/2016,14:55,KINGS,39F,31F,73%,NE,9mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,2:35,KINGS,36F,19F,50%,NE,9mph,0mph,30.69in,0.0in,Fair
12/26/2016,20:05,KINGS,44F,39F,82%,NE,6mph,0mph,30.40in,0.0in,Light
12/26/2016,14:55,KINGS,39F,31F,73%,NE,9mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,19:00,KINGS,45F,39F,81%,ENE,7mph,0mph,30.40in,0.0in,Light
12/26/2016,15:41,KINGS,40F,32F,73%,NE,9mph,0mph,30.54in,0.0in,Cloudy
12/26/2016,19:20,KINGS,45F,39F,81%,ENE,7mph,0mph,30.40in,0.0in,Light
12/26/2016,14:40,KINGS,39F,31F,73%,NE,9mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,14:40,KINGS,39F,31F,73%,NE,9mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,17:45,KINGS,41F,37F,86%,VAR,7mph,0mph,30.44in,0.0in,Light
12/26/2016,17:15,KINGS,41F,37F,86%,VAR,7mph,0mph,30.44in,0.0in,Light
12/26/2016,17:30,KINGS,41F,37F,86%,VAR,7mph,0mph,30.44in,0.0in,Light
12/26/2016,21:40,KINGS,48F,44F,86%,S,13mph,20mph,30.36in,0.0in,Light
12/26/2016,17:00,KINGS,41F,37F,86%,VAR,7mph,0mph,30.44in,0.0in,Light
12/26/2016,22:30,KINGS,48F,44F,86%,S,15mph,0mph,30.37in,0.0in,Cloudy
12/26/2016,17:30,KINGS,41F,37F,86%,VAR,7mph,0mph,30.44in,0.0in,Light
12/26/2016,5:58,KINGS,35F,21F,57%,ENE,13mph,0mph,30.70in,0.0in,Cloudy
12/26/2016,13:05,KINGS,39F,30F,70%,NE,8mph,0mph,30.57in,0.0in,Cloudy
12/26/2016,17:49,KINGS,41F,37F,86%,VAR,7mph,0mph,30.44in,0.0in,Light
12/25/2016,18:00,KINGS,46F,28F,50%,NE,12mph,0mph,30.54in,0.0in,Fair
